n,seconds
1444,0.0360473240
1445,0.0359453400
1446,0.0363485740
1447,0.0361607000
1448,0.0364572150
1449,0.0364347090
1450,0.0364078510
1451,0.0363810640
1452,0.0364899520
1453,0.0367383210
1454,0.0365182710
1455,0.0368955460
1456,0.0389079660
1457,0.0368572430
1458,0.0369082420
1459,0.0368517640
1460,0.0369377360
1461,0.0373980950
1462,0.0344341170
1463,0.0345458090
1464,0.0352744920
1465,0.0347631100
1466,0.0349417100
1467,0.0347705370
1468,0.0346487470
1469,0.0371866380
1470,0.0355628360
1471,0.0350412030
1472,0.0350189160
1473,0.0365270860
1474,0.0350567170
1475,0.0353046160
1476,0.0349242760
1477,0.0349742470
1478,0.0351730040
1479,0.0353918840
1480,0.0356944630
1481,0.0354498150
1482,0.0355941770
1483,0.0358441280
1484,0.0357991860
1485,0.0361834250
1486,0.0357265640
1487,0.0358062490
1488,0.0358501800
1489,0.0360104280
1490,0.0359240770
1491,0.0360439030
1492,0.0360223480
1493,0.0360762490
1494,0.0364050600
1495,0.0363323670
1496,0.0361991000
